,Name,Location,Census Division,Region,Type,Kind,Summary
207,Georgina Military Museum,Keswick,York Region,Golden Horseshoe,Museum,Military,Military
208,Georgina Pioneer Village & Archives,Keswick,York Region,Golden Horseshoe,Museum,Open air,"includes a log house, church, schoolhouse, general store, train station, blacksmith shop, apothecary"
209,Gibson Gallery,Amherstburg,Essex County,Southwestern,Museum,Art,located in an 1896 former railroad station
210,Glanmore National Historic Site,Belleville,Hastings County,Central,Museum,Historic house,1890s period mansion
211,Glengarry Pioneer Museum,Dunvegan,"Stormont, Dundas and Glengarry",Eastern,Museum,Open air,"Twelve 19th-century wooden buildings (including the oldest still-functioning bar in Ontario) in a rural setting, with historic tools and artifacts, farm equipment and machinery, furniture, household items, clothing and fabrics"
212,Glengarry Sports Hall of Fame,Maxville,"Stormont, Dundas and Glengarry",Eastern,Museum,Sports,achievements of Glengarry County's athletes
213,Glenhyrst Art Gallery of Brant,Brantford,County of Brant,Golden Horseshoe,Museum,Art,contemporary art
214,Gore Bay Museum,Gore Bay,Manitoulin District,Northeastern,Museum,Local history,"also art exhibits, operated by the Western Manitoulin Historical Society"
215,Goulbourn Museum,Stittsville,Ottawa,Eastern,Museum,Local history,including 19th and 20th century rural township life
216,Governor General's Foot Guards Regimental Museum,Ottawa,Ottawa,Eastern,Museum,Military,History of the regiment
217,Great War Flying Museum,Brampton,Peel Region,Golden Horseshoe,Museum,Aviation,Features flying replicas of World War I aircraft
218,Grey Roots Museum and Archives,Georgian Bluffs,Grey County,Southwestern,Museum,Local history,Open air heritage village in summer
219,"Griffin House (Ancaster, Ontario)",Ancaster,Hamilton,Golden Horseshoe,Museum,Historic house,"Owned and operated by the Hamilton Conservation Authority, 19th century period home, part of the Underground Railroad"
220,Grimsby Museum,Grimsby,Niagara Region,Golden Horseshoe,Museum,Local history,Local history
221,Grimsby Public Art Gallery,Grimsby,Niagara Region,Golden Horseshoe,Museum,Art,Art
222,Guelph Civic Museum,Guelph,Wellington County,Southwestern,Museum,Local history,Local and natural history
223,Guinness World Records,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Amusement,Amusement
224,Haileybury Heritage Museum,Haileybury,Timiskaming District,Northeastern,Museum,Local history,"includes a streetcar, fire pumper, tugboat and caboose"
225,Haldimand County Museum & Archives,Cayuga,Haldimand County,Golden Horseshoe,Museum,Local history,Local history
226,Haliburton Highlands Museum,Haliburton,Haliburton County,Central,Museum,Local history,"includes local history museum, log barn, pioneer house"
227,Haliburton Sculpture Forest,Haliburton,Haliburton County,Central,Museum,Art,Outdoor sculpture park
228,Halton County Radial Railway,Milton,Halton Region,Golden Horseshoe,Museum,Transport,"Includes electric streetcars, other railway vehicles, trolleybusses and buses"
229,Halton Region Museum,Milton,Halton Region,Golden Horseshoe,Museum,Local history,Local history
230,Hamilton Children's Museum,Hamilton,Hamilton,Golden Horseshoe,Museum,Children's,Children's
231,Hamilton Military Museum,Hamilton,Hamilton,Golden Horseshoe,Museum,Military,Canada's military history since the War of 1812; located on the ground of Dundurn Castle
232,Hamilton Museum of Steam & Technology,Hamilton,Hamilton,Golden Horseshoe,Museum,Technology,"19th century waterworks pumping station with two 45-foot (14 m) high, 70-ton steam engines"
233,Hammond Museum of Radio,Guelph,Wellington County,Southwestern,Museum,Media,"radios designed and manufactured in Canada, early radio and wireless artifacts, receivers and transmitters"
234,Hastings and Prince Edward Regiment Museum,Belleville,Hastings County,Central,Museum,Military,"Regimental uniforms, history and memorabilia"
235,Heritage House Museum,Smiths Falls,Lanark County,Eastern,Museum,Historic house,"Facebooks site, mid-19th century period Victorian home"
236,Heritage Schoolhouse,Markham,York Region,Central,Museum,Education,19th century schoolhouse museum
237,Hermitage and Gatehouse Museum,Ancaster,Hamilton,Golden Horseshoe,Museum,History,History of the ruins of the 19th-century house
238,Highlands Cinemeas and Movie Museum,Kinmount,Kawartha Lakes,Central,Museum,Media,"small 5 screen movie theater and museum about movies, motion picture projectors and associated paraphernalia"
239,"Hillary House, The Koffler Museum of Medicine",Aurora,York Region,Golden Horseshoe,Museum,Medical,"19th-century house used as an office by three generations of doctors, features medical instruments, books, papers, household furnishings, and equipment dating from the early 19th to the late 20th century; operated by the Aurora Historical Society"
240,Historic Cornwall Jail,Cornwall,"Stormont, Dundas and Glengarry",Eastern,Museum,Prison,"includes cell blocks, common areas, exercise yard and visitation area"
241,HMCS Haida National Historic Site,Hamilton,Hamilton,Golden Horseshoe,Museum,Maritime,Tribal-class destroyer museum ship
242,Hoch Farm,"Killaloe, Hagarty and Richards",Renfrew County,Eastern,Museum,Historic house,1910-1920s period farmhouse
243,Hockey Heritage North,Kirkland Lake,Timiskaming District,Northeastern,Museum,Sports,Artifacts of local ice hockey history
244,Homer Watson House & Gallery,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Art,gallery in home of artist Homer Watson
245,"Homewood Museum (Maitland, Ontario)",Maitland,Leeds and Grenville,Eastern,Museum,Historic house,"1800 stone house, operated by Ontario Heritage Trust"
246,Horseless Carriage Museum,Fenelon Falls,Kawartha Lakes,Central,Museum,Automobile,"early automobiles and truck, engines, memorabilia"
247,Humphrey Museum,Seguin,Parry Sound District,Northeastern,Museum,History,"1870s log schoolhouse with displays of pioneer history, also known as Seguin Township Museum"
248,Huron County Marine Museum,Goderich,Huron,Southwestern,Museum,Maritime,"lifestyle and culture of those who made a living on Lake Huron, open seasonally, included with admission to the Huron County Museum or Huron Historic Gaol"
249,Huron County Museum,Goderich,Huron,Southwestern,Museum,Local history,"furniture, agriculture, salt industry, area art and military displays"
250,Huron Historic Gaol,Goderich,Huron,Southwestern,Museum,Prison,"County jail from 1841 until 1972, courtrooms and early 20th century period governor's house"
251,Huronia Museum,Midland,Simcoe County,Central,Museum,Multiple,"Includes the 16th century period Huron Oendat Village, native art and archaeological collections, contemporary art gallery, local history and maritime exhibits, period room and general store displays"
252,Hutchison House Museum,Peterborough,Peterborough County,Central,Museum,Living,"operated by the Peterborough Historical Society, depicts 19th century life in Ontario"
253,Hymers Museum,Kakabeka Falls,Thunder Bay District,Northwestern,Museum,History,"local history and area's settlers, exhibits include mining, logging, farming, one-room schools, and the village's first church"
254,Ignace Heritage Centre,Ignace,Kenora District,Northwestern,Museum,Local history,adjoins the Ignace Public Library
255,Ingersoll Cheese & Agricultural Museum,Ingersoll,Oxford,Southwestern,Museum,History,"includes replica 20th-century cheese factory, a barn, local sports hall of fame, a working blacksmith shop and the Ingersoll Community Museum"
256,Innisville Museum,Innisville,Lanark County,Eastern,Museum,Local history,Local history
257,International Hockey Hall of Fame,Kingston,Frontenac County,Eastern,Museum,Sports,History of ice hockey
258,Ireland House,Burlington,Halton Region,Golden Horseshoe,Museum,Historic house,"homestead furnished for three periods: 1850s, 1890s and 1920s"
259,Iron Bridge Museum,Iron Bridge,Algoma District,Northeastern,Museum,Local history,Local history
260,Iroquois Falls Pioneer Museum,Iroquois Falls,Cochrane District,Northeastern,Museum,Local history,Local history
261,Jack Seabrook's Farm Museum,Mindemoya,Manitoulin District,Northeastern,Museum,Agriculture,"tractors, farm equipment and tools"
262,Jet Aircraft Museum,London,Middlesex County,Southwestern,Museum,Aviation,Focus is Canadian Forces jet aircraft
263,John Freeman Walls Historic Site,Lakeshore,Essex County,Southwestern,Museum,Open air,"20-acre (81,000 m2) historical site that features historic buildings and was part of the Underground Railroad"
264,John R. Park Homestead and Conservation Area,Harrow,Essex County,Southwestern,Museum,Historic house,1850s house and farm buildings
265,Jolley's Riding Toy Museum,Meaford,Grey County,Southwestern,Museum,Toy,"includes over 300 antique bicycles, tricycles, children’s wagons, scooters, pedal cars, hand cars, kiddie cars, ride-on vehicles, horses and sleds"
266,Jordan Historical Museum of the Twenty,Jordan,Niagara Region,Golden Horseshoe,Museum,Historic house,"Depicts early lives of the Loyalists and Pennsylvania Mennonites, includes 1835 period historic house with textiles and weaving displays, and a 1908 period schoolhouse"
267,Joseph Brant Museum,Burlington,Halton Region,Golden Horseshoe,Museum,Local history,reconstructed early 19th century home of Joseph Brant features local history exhibits
268,Schneider Haus,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Historic house,Early 19th century period homestead
269,Kanata Civic Art Gallery,Kanata,Ottawa,Eastern,Museum,Art,Art
270,Karsh-Masson Gallery,Ottawa,Ottawa,Eastern,Museum,Art,municipal art gallery
271,Kawartha Settlers' Village,Bobcaygeon,Kawartha Lakes,Central,Museum,Open air,historic homes and buildings from 1830–1915
272,Kay-Nah-Chi-Wah-Nung,Stratton,Rainy River District,Northwestern,Museum,First Nations,"Exhibits about the culture of the Ojibway people, tours of Manitou mounds"
273,Keith M. Boyd Museum,Russell,Prescott and Russell,Eastern,Museum,Local history,operated by the Russell Historical Society
274,Killarney Museum,Killarney,Sudbury District,Northeastern,Museum,Local history,Local history
275,King Township Museum,King City,York Region,Golden Horseshoe,Museum,Local history,Located in a historic railroad station and church
276,Kingston Archaeological Centre,Kingston,Frontenac County,Eastern,Museum,Archaeology,history of the human occupation of Eastern Ontario over the past 8000 years
277,Kingston Scouting Museum,Kingston,Frontenac County,Eastern,Museum,Scouting,open by appointment
278,Kingsville Historical Park,Kingsville,Essex County,Southwestern,Museum,Military,"includes the Charlie Campbell Museum of local military history and artifacts, and a restored 19th century range light"
279,Kintail School,Lucknow,Bruce County,Southwestern,Museum,Education,late 19th-century schoolhouse
280,Kitchener-Waterloo Art Gallery,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Art,emphasis is contemporary art
281,Komoka Railway Museum,Komoka,Middlesex County,Southwestern,Museum,Railway,"housed in a 19th-century Canadian National Railway station, railroad artifacts and memorabilia"
282,Lake of the Woods Museum,Kenora,Kenora District,Northwestern,Museum,Local history,"themes include First Nations, fur traders, pioneer life, area industries and development"
283,Lambton Heritage Museum,Lambton,Lambton County,Southwestern,Museum,Multiple,"local history, pressed glass, agriculture equipment, antique vehicles and engines, late 19th century pioneer home, school, blacksmith shop"
284,Lanark and District Museum,Lanark,Lanark County,Eastern,Museum,Local history,Local history
285,Lang Pioneer Village Museum,Peterborough,Peterborough County,Central,Museum,Living,19th century pioneer village
286,Latcham Gallery,Stouffville,York Region,Central,Museum,Art,Art
287,Laura Secord Homestead,Queenston,Niagara Region,Golden Horseshoe,Museum,Historic house,"early 19th century period home of Laura Secord, a Canadian heroine of the War of 1812"
288,Laurier House National Historic Site,Ottawa,Ottawa,Eastern,Museum,Historic house,Home of two prime ministers
289,Lennox and Addington County Museum,Napanee,Lennox and Addington County,Eastern,Museum,Local history,Operated by the Lennox and Addington Historical Society
290,Library and Archives Canada,Ottawa,Ottawa,Eastern,Museum,Library,Art and history exhibits from its collections
291,Lincoln and Welland Regimental Museum,Niagara-on-the-Lake,Niagara Region,Golden Horseshoe,Museum,Military,History and artifacts of The Lincoln and Welland Regiment
292,Lindsay Gallery,Lindsay,Kawartha Lakes,Central,Museum,Art,Art
293,Lithuanian Museum-Archives of Canada,Mississauga,Peel Region,Golden Horseshoe,Museum,Ethnic,Ethnic
294,Little Claybelt Homesteaders Museum,New Liskeard,Timiskaming District,Northeastern,Museum,Local history,local history and pioneer life in the area from the 1880s through the 1940s
295,Little Schoolhouse and Museum,South Baymouth,Manitoulin District,Northeastern,Museum,Local history,local history and one room school exhibits
296,Lockmaster's House Museum,Chaffey's Lock,Leeds and Grenville,Eastern,Museum,Transportation,"local history exhibits, history of the Rideau Canal, located in a historic lockmaster's house"
297,London Regional Children’s Museum,London,Middlesex County,Southwestern,Museum,Children's,Children's
298,L'Orignal Jail,L'Orignal,Prescott and Russell,Eastern,Museum,Prison,Tours of the prison built in the 1820s and decommissioned in 1998
299,Lorne Scots Regimental Museum,Brampton,Peel Region,Golden Horseshoe,Museum,Military,Regimental memorabilia
300,Lost Villages Museum,Long Sault,"Stormont, Dundas and Glengarry",Eastern,Museum,Open air,"Features buildings, photos and memorabilia of The Lost Villages; complex includes a general store, train station, log house, barber shop, school, church and home"
301,Louis Tussaud's Waxworks,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Wax,Wax
302,Lucan Area Heritage & Donnelly Museum,Lucan,Middlesex County,Southwestern,Museum,Local history,Local history
303,Macaulay Heritage Park,Picton,Prince Edward County,Central,Museum,Historic house,"includes 1850s period home, historic church with local history museum"
304,Macdonald Stewart Art Centre,Guelph,Wellington County,Southwestern,Museum,Art,"Exhibits of contemporary and historical art, craft and design"
305,Mackenzie Printery & Newspaper Museum,Queenston,Niagara Region,Golden Horseshoe,Museum,Media,"also reconstructed home of rebel publisher William Lyon Mackenzie, displays of 500 years of printing technology"
306,MacLachlan Woodworking Museum,Kingston,Frontenac County,Eastern,Museum,Technology,"19th century life and technology, especially woodworking"
307,MacLaren Art Centre,Barrie,Simcoe County,Central,Museum,Art,Art
308,Madonna House Apostolate,Combermere,Renfrew County,Eastern,Museum,History,"Catholic Christian community, includes the Pioneer Museum with historic tools, household items and agriculture equipment"
309,Mahoney Dolls House Gallery,Fort Erie,Niagara Region,Golden Horseshoe,Museum,Toy,features over 140 doll houses from 1780–1995
310,Maidstone Bicentennial Museum,Lakeshore,Essex County,Southwestern,Museum,Local history,Local history
311,Maison Macdonell-Williamson House,Chute-à-Blondeau,Prescott and Russell,Eastern,Museum,Historic house,"owned by Ontario Heritage Trust, operated by the Friends of the Macdonell-Williamson House, early 19th-century house"
312,Marathon District Museum,Marathon,Thunder Bay District,Northwestern,Museum,Local history,Local history
313,Marie Dressler House,Cobourg,Northumberland,Central,Museum,Biographical,"home of actress Marie Dressler, small museum"
314,Marine Museum of the Great Lakes,Kingston,Frontenac County,Eastern,Museum,Maritime,"Exhibits include shipbuilding, boat building, shipping, life of a sailor, marine art, natural history and ecology of the Great Lakes, and the museum ship CCGS Alexander Henry"
315,Mariners Park Museum,Milford,Prince Edward County,Central,Museum,Open air,Open air
316,Markham Museum,Markham,York Region,Central,Museum,Open air,"Buildings include houses, barns, sheds, train station, schoolhouse, general store, church, blacksmith, harness shop, saw mill, cider mill"
317,Marten River Provincial Park,Marten River,Nipissing District,Northeastern,Museum,Forestry,Features replica 19th-century logging camp
318,Maryboro Lodge,Fenelon Falls,Kawartha Lakes,Central,Museum,Local history,also known as the Fenelon Museum
319,Massey Area Museum,Massey,Sudbury District,Northeastern,Museum,Local history,"includes early 20th century general store display, First Nations artifacts, period rooms, lumbering, farming, mining and mineral displays"
320,Mather-Walls House,Kenora,Kenora District,Northwestern,Museum,Historic house,"turn-of-the-20th-century period house, owned by Ontario Heritage Trust, operated in the summer by the Lake of the Woods Historical Society"
321,Mattawa Museum,Mattawa,Nipissing District,Northeastern,Museum,Local history,"operated by the Mattawa and District Historical Society, information"
322,McCrae House,Guelph,Wellington County,Southwestern,Museum,Historic house,Late 19th century period home of poet John McCrae
323,McDougall Cottage,Waterloo,Waterloo Region,Golden Horseshoe,Museum,Historic house,mid-19th-century Scottish labourer's home
324,McDougall Mill Museum,Renfrew,Renfrew County,Eastern,Museum,Local history,located in a former stone grist mill
325,"McFarland House (Niagara-on-the-Lake, Ontario)",Niagara-on-the-Lake,Niagara Region,Golden Horseshoe,Museum,Historic house,early 19th century period house
326,McIntosh Gallery,London,Middlesex County,Southwestern,Museum,Art,part of the University of Western Ontario
327,McMaster Museum of Art,Hamilton,Hamilton,Golden Horseshoe,Museum,Art,"Part of McMaster University, changing exhibits of historical, modern and contemporary art in five galleries"
328,McMichael Canadian Art Collection,Kleinburg,York Region,Golden Horseshoe,Museum,Art,"Features paintings by Tom Thomson, the Group of Seven and their contemporaries, and First Nations and Inuit artists"
329,Meaford Museum,Meaford,Grey County,Southwestern,Museum,Local history,Local history
330,Memory Junction Railway Museum,Brighton,Northumberland,Central,Museum,Railway,"Located in a former railway station, includes a locomotive, railroad cars, equipment, memorabilia"
331,Middleville and District Museum,Middleville,Lanark County,Eastern,Museum,Local history,Local history
332,Military Communications and Electronics Museum,Kingston,Frontenac County,Eastern,Museum,Military,History of military communications
333,Miller Museum of Geology,Kingston,Frontenac County,Eastern,Museum,Natural history,"part of Queen's University, rocks, minerals, fossils, area geology"
334,Milner House,Chatham-Kent,Chatham-Kent,Southwestern,Museum,Historic house,turn-of-the-20th-century lifestyle of a successful industrialist and his family
335,Minden Hills Cultural Centre,Minden Hills,Haliburton County,Central,Museum,Multiple,"includes the Agnes Jamieson Gallery with a collection of works by André Lapine; the Minden Hills Museum with historic buildings including a schoolhouse, church, pioneer log home, blacksmith shop, logging camp, agriculture and local history exhibits; and R.D. Lawrence Place with exhibits about the nature activities and writings of RD Lawrence"
336,Mission House Museum & Gallery,Combermere,Renfrew County,Eastern,Museum,Multiple,local history and art
337,Mississagi Lighthouse,Little Current,Manitoulin District,Northeastern,Museum,Maritime,Maritime
338,Mississippi Valley Textile Museum,Almonte,Lanark County,Eastern,Museum,Textile,"history of the area's textile industry, modern fiber arts exhibits, textile processes and equipment"
339,Modern Fuel,Kingston,Frontenac County,Eastern,Museum,Art,artist-run contemporary art centre
340,Moore Museum,Mooretown,Lambton County,Southwestern,Museum,Open air,"includes local history exhibits, church, school, fire hall, log cabin, railroad station, Victoria cottage, agriculture hall, blacksmith shop"
341,Morningstar Mill,St. Catharines,Niagara Region,Golden Horseshoe,Museum,Open air,"includes historic working grist mill,turbine shed, blacksmith shop, millers house, icehouse, sawmill and barn"
342,Movieland Wax Museum of the Stars (Ontario),Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Wax,Wax
343,MS Norgoma,Sault Ste. Marie,Algoma District,Northeastern,Museum,Maritime,Canadian package freighter and passenger ferry museum ship
344,Murney Tower,Kingston,Frontenac County,Eastern,Museum,Military,mid-19th century martello tower with period exhibits
345,Murray L. Moore Hydro Museum,Pembroke,Renfrew County,Eastern,Museum,Science,"also known as the Pembroke Hydro Museum, operated by Ottawa River Power"
346,Muséoparc Vanier Museopark,Ottawa,Ottawa,Eastern,Museum,Local history,local history of Vanier and the Francophone heritage of Ottawa
347,Museum in the Square,Brantford,County of Brant,Golden Horseshoe,Museum,Art,"operated by the Brant Historical Society, collection of decorative and fine arts"
348,Museum London,London,Middlesex County,Southwestern,Museum,Multiple,"Art, local history"
349,Museum of Classical Antiquities,Ottawa,Ottawa,Eastern,Museum,Archaeology,"teaching collection of the University of Ottawa, pottery and artifacts of daily life from ancient Greek and Roman civilizations dating from the 7th century BC to the 7th century AD"
350,Museum of Health Care,Kingston,Frontenac County,Eastern,Museum,Medical,Nursing and history of health care
351,Museum of Northern History,Kirkland Lake,Timiskaming District,Northeastern,Museum,Multiple," Located in the Sir Harry Oakes Chateau, owned by Ontario Heritage Trust, historic house with exhibits about Harry Oakes and area mining, local history, area wildlife, local art exhibits"
352,Museum of Ontario Archaeology,London,Middlesex County,Southwestern,Museum,Archaeology,"Part of the University of Western Ontario, Ontario's prehistoric past, adjacent reconstructed Neutral Nation village"
353,Museum of Vision Science,Kitchener,Waterloo Region,Golden Horseshoe,Museum,Medical,"Part of the University of Waterloo, history of vision science, housed in the School of Optometry"
354,Museum on the Boyne,Alliston,Simcoe County,Central,Museum,Local history,includes 1851 log cabin and an 1858 English barn with agriculture equipment
355,Museum Strathroy-Caradoc,Strathroy-Caradoc,Middlesex County,Southwestern,Museum,Local history,located in 34 Frank which is also home to Strathroy Public Library and The Art Space gallery
356,Museum of Temporary Art,Victoria Road,City of Kawartha Lakes,Central,Museum,Art,"housed in a restored Victorian general store, the MTA is a museum of the imagination including collage, painting, evolving installations and found object assemblages"
357,Muskoka Boat & Heritage Centre,Gravenhurst,Muskoka,Central,Museum,Maritime,"includes history of area steamships, wooden boats and luxury hotels, antique and wooden boat models, toys and Muskoka memorabilia"
358,Muskoka Heritage Place,Huntsville,Muskoka,Central,Museum,Multiple,"includes the Muskoka Museum, Muskoka Pioneer Village and the Huntsville & Lake of Bays Railway Society's Portage Flyer Train"
359,Muskoka Lakes Museum,Port Carling,Muskoka,Central,Museum,Local history,Local history
360,Myrtleville House Museum,Brantford,County of Brant,Golden Horseshoe,Museum,Historic house,"operated by the Brant Historical Society, restored 1837 homestead with furnishings from 140 years of family life"
361,Nancy Island Historic Site,Wasaga Beach,Simcoe County,Central,Museum,Military,"includes artifacts from the 18th century schooner HMS Nancy, exhibits on the War of 1812 and a lighthouse"
362,Naismith Museum,Almonte,Lanark County,Eastern,Museum,Biographical,Life of basketball inventor James Naismith
363,National Air Force Museum of Canada,Trenton,Hastings County,Central,Museum,Aviation,"Formerly known as the RCAF Memorial Museum, Royal Canadian Air Force aircraft and artifacts"
364,National Gallery of Canada,Ottawa,Ottawa,Eastern,Museum,Art,"Collections include Canadian, European, Asian art from the Indian subcontinent, Tibet and China, contemporary art, photography, sculpture, indigenous art from around the world"
365,Nepean Fine Arts League Gallery,Nepean,Ottawa,Eastern,Museum,Art,Art
366,Nepean Museum,Nepean,Ottawa,Eastern,Museum,Local history,Local history
367,Net Shed Museum,Meldrum Bay,Manitoulin District,Northeastern,Museum,Maritime,seafaring and fishing history of the region
368,Niagara Apothecary,Niagara-on-the-Lake,Niagara Region,Golden Horseshoe,Museum,Medical,"owned by Ontario Heritage Trust, operated by the Ontario College of Pharmacists, restored 1869 pharmacy"
369,Niagara Artists Centre,St. Catharines,Niagara Region,Golden Horseshoe,Museum,Art,artist-run contemporary art centre
370,Niagara Children's Museum,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Children's,Children's
371,Niagara Falls Art Gallery,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Art,Art
372,Niagara Falls History Museum,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Local history,"formerly the Lundy's Lane Historical Museum, features exhibits on the War of 1812"
373,Niagara Historical Museum,Niagara-on-the-Lake,Niagara Region,Golden Horseshoe,Museum,Local history,Local history
374,Niagara Pumphouse Visual Arts Centre,Niagara-on-the-Lake,Niagara Region,Golden Horseshoe,Museum,Art,features regional art
375,Niagara Scouting Museum,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Scouting,open by appointment
376,Nipissing Township Museum,Nipissing,Parry Sound District,Northeastern,Museum,Local history,"includes pioneer artifacts, reconstructed homes, log church"
377,No. 6 RCAF Dunnville Museum,Dunnville,Haldimand County,Golden Horseshoe,Museum,Aviation,history of the No.6 Service Flying Training School in WW II
378,Norfolk Arts Centre,Simcoe,Norfolk County,Southwestern,Museum,Art,"another also known as Lynnwood Arts Centre, located in the 1851 Lynnwood House"
379,North American Black Historical Museum,Amherstburg,Essex County,Southwestern,Museum,African American,"Focus is the Underground Railroad, black history in Canada, includes 19th-century church and log cabin"
380,North Hastings Heritage Museum,Bancroft,Hastings County,Central,Museum,Local history,Local history
381,North Huron Museum,Wingham,Huron,Southwestern,Museum,Local history,Local history
382,North Lanark Regional Museum,Appleton,Lanark County,Eastern,Museum,Local history,includes replicas of a country store and a pioneer log cabin
383,Northern Ontario Railroad Museum,Capreol,Greater Sudbury,Northeastern,Museum,Railway,"Railroad cars, equipment, artifacts and memorabilia"
384,Northwestern Ontario Sports Hall of Fame,Thunder Bay,Thunder Bay District,Northwestern,Museum,Sports,Area's sports heritage
385,Nor'Westers and Loyalist Museum,Williamstown,"Stormont, Dundas and Glengarry",Eastern,Museum,History,"story of Sir John Johnson and Loyalist followers who settled in town during the American Revolution in 1784, and the North West Company"
386,Norwich and District Museum,Norwich,Oxford,Southwestern,Museum,Open air,"includes 1889 Quaker Meeting House, a blacksmith shop, an 1830s saltbox farmhouse, a turn-of-the-20th-century Quaker schoolhouse, and two barns with agricultural and dairy farming displays and equipment"
387,O'Hara Mill Homestead,Madoc,Hastings County,Central,Museum,Open air,"includes 19th century saw mill, 1850 period house, carpenter shop, blacksmith shop, storage sheds, schoolhouse and log house"
388,Oak Hall,Niagara Falls,Niagara Region,Golden Horseshoe,Museum,Historic house,"View the mansion's restored Great Hall reception area, the dining room and the living room, and a collection of Niagara Falls art"
389,Oakville Galleries,Oakville,Halton Region,Golden Horseshoe,Museum,Art,Art
390,Oakville Museum,Oakville,Halton Region,Golden Horseshoe,Museum,Local history,historic estate and grounds with local history exhibits
391,Odette Sculpture Park,Windsor,Essex County,Southwestern,Museum,Art,Outdoor sculpture park
392,Oil Museum of Canada,Oil Springs,Lambton County,Southwestern,Museum,Industry,"petroleum industry artifacts, site of the first commercial oil well in North America"
393,Old Brittania Schoolhouse,Mississauga,Peel Region,Golden Horseshoe,Museum,Education,19th century one room schoolhouse
394,Olde Gaol Museum,Lindsay,Kawartha Lakes,Central,Museum,History,"local and Canadian history set in a jail building dating back to the 1860s, operated by the Victoria County Historical Society"
395,Old Mill Heritage Centre and Post Office Museum,Kagawong,Manitoulin District,Northeastern,Museum,Multiple,"includes the Kagawong Museum with exhibits on local history, agriculture, military, early sawmills, commercial shipping and fishing, a historic post office museum display, and an art gallery"
396,Old Stone Mill,Delta,Leeds and Grenville,Eastern,Museum,Mill,1810 stone grist mill and adjacent Museum of Industrial Technology with exhibits of early industries of the region including early agricultural equipment
397,Omàmiwininì Pimàdjwowin,Golden Lake,Renfrew County,Eastern,Museum,First Nations,"also known as The Algonquin Way Cultural Centre, heritage of the Algonquins of Pikwàkanagàn First Nation"
398,Ontario Provincial Police Museum,Orillia,Simcoe County,Central,Museum,Law enforcement,history of the Ontario Provincial Police
399,Ontario Regiment Museum,Oshawa,Durham Region,Central,Museum,Military,"History of The Ontario Regiment (RCAC), includes uniforms, over 80 military vehicles, medals, arms, photographs"
400,Orillia Museum of Art & History,Orillia,Simcoe County,Central,Museum,Multiple,art and local history
401,Orval Berry Museum,Frankford,Hastings County,Central,Museum,Local history,Local history
402,Oshawa Community Museum,Oshawa,Durham Region,Central,Museum,Historic house,"Includes late 19th century Victorian Henry House, local history exhibits"
403,Oshawa Military and Industrial Museum,Oshawa,Durham Region,Central,Museum,Military,Features large collection of military vehicles
404,Osgoode Township Historical Society and Museum,Osgood Township,Ottawa,Eastern,Museum,Local history,Local history
405,Ottawa Art Gallery,Ottawa,Ottawa,Eastern,Museum,Art,contemporary and 20th-century art
406,Ottawa School of Art Galleries,Ottawa,Ottawa,Eastern,Museum,Art,Art
407,Ottawa Sports Hall of Fame,Ottawa,Ottawa,Eastern,Museum,Sports,located in the Canadian Tire Centre
408,Owen Sound Marine & Rail Museum,Owen Sound,Grey County,Southwestern,Museum,Transport,"housed in a Canadian former National Railway Station on the Owen Sound waterfront, focus is the area's maritime, rail and industrial past"
409,Paddy Walker House,Kincardine,Bruce County,Southwestern,Museum,Local history,Local history
410,Palmerston Railway Heritage Museum,Palmerston,Wellington County,Southwestern,Museum,Railroad,Railroad
411,Park House Museum,Amherstburg,Essex County,Southwestern,Museum,Historic house,1850s period house and local history exhibits
412,"Parks Canada Discovery Center, Hamilton",Hamilton,Hamilton,Golden Horseshoe,Museum,Multiple,history and natural history exhibits on Canada's national parks and historic sites
413,Parkwood Estate,Oshawa,Durham Region,Central,Museum,Historic house,Early 20th-century mansion and estate gardens
414,Paris Museum and Historical Society,Paris,County of Brant,Golden Horseshoe,Museum,Local history,Local history
415,"Peel Art Gallery, Museum and Archives",Brampton,Peel Region,Golden Horseshoe,Museum,Multiple,"Local history museum, art gallery"
416,Pelee Island Heritage Centre,Pelee Island,Essex County,Southwestern,Museum,Multiple,local history and natural history
417,Penetanguishene Centennial Museum,Penetanguishene,Simcoe County,Central,Museum,Local history,Local history
418,Personal Computer Museum,Brantford,County of Brant,Golden Horseshoe,Museum,Technology,"Personal computers and artifacts, open on select days"
419,Perth Legion Hall of Remembrance,Perth,Lanark County,Eastern,Museum,Military,Military
420,Perth Museum,Perth,Lanark County,Eastern,Museum,Local history,Includes four 19th century period rooms of the Roderick Matheson House
421,Petawawa Research Forest Visitor Centre,Petawawa,Renfrew County,Eastern,Museum,Forestry,"forestry and natural history exhibits, demonstration forest"
