,Site,Date(s),Designated,Location,Coordinates,Latitude,Longitude,Description,Type
104,John Street Roundhouse (Canadian Pacific) ,1931 (completed),1990,Toronto,"43.640862, -79.385925",43.640862,-79.385925,"Located in Toronto۪s formerly vast railway lands near Union Station, it is Canada's best surviving example of a roundhouse; now occupied by the Toronto Railway Heritage Centre, the Steam Whistle brewery and a furniture store",PHistoric
105,Kensington Market ,1815 (first development (Bellevue Estate)),2006,Toronto,"43.6547722, -79.4006778",43.6547722,-79.4006778,"A neighbourhood noted for its network of narrow streets and lanes fronted by rows of small houses and shops; since the early 20th century, it has been home to numerous successive waves of immigrant communities, making it a microcosm of Canada's multiculturalism",PHistoric
106,Maple Leaf Gardens ,1931 (completed),2007,Toronto,"43.66222, -79.38028",43.66222,-79.38028,"Built for the Toronto Maple Leafs, the arena is regarded as of the most renowned ""shrines"" in the history of ice hockey; for 70 years, it was one of Canada's foremost venues for large-scale sporting events, concerts and political events",PHistoric
107,Massey Hall ,1894 (completed),1981,Toronto,"43.65417, -79.3790278",43.65417,-79.3790278,"A gift to the City of Toronto from wealthy industrialist Hart Massey, the concert hall has been one of the country's most important cultural institutions and is renowned for its outstanding acoustics",PHistoric
108,Metallic Roofing Company Offices ,1897 (completed),1984,Toronto,"43.6391694, -79.4271556",43.6391694,-79.4271556,"A unique Beaux-Arts style building decorated entirely in pressed metal; the building was dismantled in 1982 when the site was redeveloped, and it is held by the Ontario Heritage Trust for eventual reconstruction",PHistoric
109,Montgomery's Tavern ,1837 (battle),1925,Toronto,"43.7095, -79.3990",43.7095,-79.399,The site of an abortive insurrection by William Lyon MacKenzie during the Upper Canada Rebellion; the rebellion ultimately contributed to the establishment of responsible government in the colony,PHistoric
110,Mount Pleasant Cemetery ,1876 (opened),2000,Toronto,"43.696351, -79.384882",43.696351,-79.384882,An outstanding example of picturesque design inspired by the 19th-century tradition of rural cemeteries in a naturalistic setting; many of the grave markers are representative of significant epochs in the history of Toronto and the rest of the country,PHistoric
111,Old Toronto City Hall and York County Court House ,1899 (completed),1984,Toronto,"43.65250, -79.38167",43.6525,-79.38167,One of Canada۪s finest examples of Richardsonian Romanesque architecture and a symbol of Toronto's prosperity and rapid urbanization in the late 19th century,PHistoric
112,Old Toronto Post Office / Old Bank of Canada ,1853 (completed),1958,Toronto,"43.64999, -79.376355",43.64999,-79.376355,A noted example of Greek Revival architecture in Canada,PHistoric
113,Osgoode Hall ,1832 (original wing completed),1979,Toronto,"43.65222, -79.38556",43.65222,-79.38556,"Housing the Law Society of Upper Canada, courts of law and, until 1959, the only law school in the province, Osgoode Hall symbolizes the legal profession and court system in Ontario; a landmark on Queen Street West, it is also known for its ornate interiors",PHistoric
114,Royal Alexandra Theatre ,1907 (completed),1985,Toronto,"43.64741, -79.38750",43.64741,-79.3875,"One of the last theatres of its type built in Canada and arguably the best surviving example, it is a nationally significant theatre that has played a central role in the social and cultural life of Toronto",PHistoric
115,Royal Conservatory of Music ,1881 (Ihnatowycz Hall completed),1995,Toronto,"43.667972, -79.3962500",43.667972,-79.39625,"Originally constructed as the first home of McMaster University, Ihnatowycz Hall has housed the Royal Conservatory of Music since 1962; some of Canada's some of the most prominent musicians and music teachers have studied at the Conservatory, and it has played a significant role in music education across the country",PHistoric
116,St. Anne's Anglican Church ,1908 (completed),1996,Toronto,"43.6506222, -79.4306528",43.6506222,-79.4306528,"The church contains a unique cycle of paintings, executed in 1923, by ten noted artists, including three members of the Group of Seven, under the supervision of J. E. H. MacDonald",PHistoric
117,St. George's Hall (Arts and Letters Club) ,1891 (completed),2007,Toronto,"43.6578139, -79.3826417",43.6578139,-79.3826417,"Since 1920, St. George's Hall has been a gathering place for painters, writers, musicians, architects, actors and patrons of the arts; an important venue and catalyst for artistic activity in Canada",PHistoric
118,St. Lawrence Hall ,1850 (completed),1967,Toronto,"43.65028, -79.37222",43.65028,-79.37222,"St. Lawrence Hall was for many years Toronto's chief social and cultural centre, and is among the finest 19th century public buildings in Canada",PHistoric
119,The Grange ,1817 (completed),1970,Toronto,"43.6531250, -79.392417",43.653125,-79.392417,"An historic Georgian manor in downtown Toronto, it is one of the few surviving residential estates belonging to prominent citizens from the settlement of York; the oldest remaining brick house in Toronto",PHistoric
120,The Studio Building ,1914 (completed),2005,Toronto,"43.67325, -79.386083",43.67325,-79.386083,"An early Canadian artists۪ studio in the modernist style, with associations with important Canadian artists including the Group of Seven; designed by architect Eden Smith for painter Lawren Harris, it contains six purpose-built studio spaces and, at one time, artists such as Tom Thomson, Arthur Lismer and Thoreau MacDonald lived and worked on site",PHistoric
121,Toronto Island Airport Terminal Building ,1939 (completed),1989,Toronto,"43.6319472, -79.3957361",43.6319472,-79.3957361,Among the first group of airport terminals to be funded and approved by the then new Department of Transport as part of the development of Trans-Canada Air Lines; one of very few early terminal buildings to have survived and likely the oldest operating terminal of its kind in the country,PHistoric
122,Union Station (Canadian Pacific and Grand Trunk) ,1927 (completed),1975,Toronto,"43.64528, -79.38056",43.64528,-79.38056,"The finest example in Canada of classical Beaux-Arts railway stations, and the largest of the great urban stations built in the country during the early 20th century; illustrative of an era when railways were expanding and Toronto was becoming a modern metropolis",PHistoric
123,University College ,1859 (completed),1968,Toronto,"43.66222, -79.39583",43.66222,-79.39583,"One of the oldest collegiate buildings in the country, associated both with the development of non-denominational, publicly supported institutions of higher education in Canada, and with the development of the University of Toronto",PHistoric
124,Women's College Hospital ,1883 (founded),1995,Toronto,"43.661686, -79.387497",43.661686,-79.387497,"Founded at a time when women's access to medical education and hospital practice was extremely restricted, the hospital uniquely emphasizes women's health issues and women as health care providers; symbolic of the struggle and contribution of Canadian women to the medical profession",PHistoric
