,Site,Date(s),Designated,Location,Coordinates,Latitude,Longitude,Description,Type
112,Port Talbot ,1803 (established),1923,Port Talbot,"42.640050,-81.366150",42.64005,-81.36615,"Founded in 1803 by Thomas Talbot, the settlement was one of the most prosperous of its time in Upper Canada, noted for its good roads, with Talbot keeping out land speculators and securing hard-working settlers; Talbot's authoritarian control of the settlers led to his downfall at the hands of colonial authorities",NHistoric
113,Prescott Railway Station (Grand Trunk) ,1855 (completed),1973,Prescott,"44.7110167,-75.524611",44.7110167,-75.524611,"A small, stone train station, typical of the smaller stations erected for the Grand Trunk Railway during the first construction period of the GTR line between Montreal and Brockville",NHistoric
114,Rideau Canal ,1832 (completed),1925,Ottawa to Kingston,"45.42583,-75.69722",45.42583,-75.69722,"Built for the British government by Lieutenant-Colonel John By as a defensive work in the event of war with the United States, the canal is the best preserved example of a 19th-century slack water canal in North America, with most of its original structures intact",NHistoric
115,Ridout Street Complex ,1838 to 1870 (period of construction),1966,London,"42.9836861,-81.2548500",42.9836861,-81.25485,"Comprising three mid-19th-century residential and commercial buildings, the grouping is representative of the appearance of Ontario cities in that period and of London's early residential and commercial architecture",NHistoric
116,Rosamond Woollen Mill ,1866 (established),1986,Almonte,"45.2281028,-76.2003667",45.2281028,-76.2003667,"At one time one of the largest mills in Canada, it is characteristic of late 19th-century textile mills in Canada",NHistoric
117,Royal Flying Corps Hangars ,1917 (completed),1989,Essa,"44.2689278,-79.8884583",44.2689278,-79.8884583,Eight surviving First World War hangars at CFB Borden which played a significant role in the development of military aviation in Canada,NHistoric
118,Ruin of St. Raphael's Roman Catholic Church ,1821 (main church completed),1996,South Glengarry,"45.2117194,-74.5970389",45.2117194,-74.5970389,"St. Raphael's roof, tower and interior decoration were destroyed by fire in 1970, but the ruins were preserved; one of the earliest surviving Roman Catholic monuments in English-speaking Canada",NHistoric
119,Ruthven Park ,1846 (completed),1995,Cayuga,"42.979278,-79.8750889",42.979278,-79.8750889,"An estate with a Greek Revival villa, laid out by David Thompson; associated with the transformation of Upper Canada from a ""settler"" to a ""settled"" society",NHistoric
120,Saint-Louis Mission ,1649 (attack),1920,Victoria Harbour,"44.7290972,-79.7812833",44.7290972,-79.7812833,"A 2-hectare (4.9-acre) archaeological site, once the site of a stockaded Huron-Wendat village and nearby Jesuit mission; an Iroquois attack in 1649 led to a chain of events resulting in the abandonment of Huronia by the Huron-Wendat in 1650",NHistoric
121,Sainte-Marie Among the Hurons Mission ,1639 (established),1920,Midland,"44.7343639,-79.8454194",44.7343639,-79.8454194,"The reconstructed main Jesuit mission to the Huron-Wendat; over ten years, it grew into a sizeable colony, but was abandoned in 1649 due to disease and conflict",NHistoric
122,Sandwich First Baptist Church ,1851 (completed),1999,Windsor,"42.2917972,-83.0802556",42.2917972,-83.0802556,One of the oldest Baptist churches surviving from this period in Ontario; representative of the churches in border settlements built to accommodate the communities created by Underground Railroad refugees,NHistoric
123,Sault Ste. Marie Canal ,1895 (completed),1987,Sault Ste. Marie,"46.51278,-84.35139",46.51278,-84.35139,"Now operated as a recreational facility, the canal and associated works were a significant part of Canada's national canal system at the time of their construction; the first electrically-powered lock in the world",NHistoric
124,Serpent Mounds ,50 BCE to 300 CE (ca.),1982,Keene,"44.21111,-78.15694",44.21111,-78.15694,A grouping of six separate burial mounds forming a serpentine shape approximately 60 metres (200 ft) long; the only one of its kind in Canada,NHistoric
125,Sharon Temple ,1831 (completed),1990,Sharon,"44.101333,-79.4418750",44.101333,-79.441875,"A temple built by the Children of Peace, a schismatic Quaker sect, and its design and aesthetics embody the values of the group; acquired by a local historic group in 1917, and is representative of the early heritage conservation movement in Canada",NHistoric
126,Sheguiandah ,"11,000 BCE (ca.) (first occupation)",1954,Manitoulin District,"45.8779694,-81.9011444",45.8779694,-81.9011444,"An archaeological site on Manitoulin Island where successive aboriginal peoples quarried quartzite, leaving behind artifacts spanning approximately 10,000 years of occupation",NHistoric
127,Sir John Johnson House ,1792 (original core completed),1961,Williamstown,"45.1447361,-74.5794750",45.1447361,-74.579475,"A wooden house of typical 19th-century Ontario vernacular design; associated with noted Loyalist Sir John Johnson, 2nd Baronet",NHistoric
128,Smiths Falls Bascule Bridge ,1913 (completed),1983,Smiths Falls,"44.8972139,-76.0270528",44.8972139,-76.0270528,"A bascule bridge over the Rideau Canal; an early example of distinctive design in movable bridges, it is the oldest surviving structure of its type",NHistoric
129,Smiths Falls Railway Station (Canadian Northern) ,1914 (completed),1983,Smiths Falls,"44.8991889,-76.0277083",44.8991889,-76.0277083,"Now serving as the Smiths Falls Railway Museum, the station's distinctive turret, polygonal waiting room and substantial construction were a departure from the usual practice of building cheaply from standard plans; representative of Canadian Northern Railway's efforts to compete directly with the Canadian Pacific Railway",NHistoric
130,Southwold Earthworks ,1500 (ca.)(occupation),1923,Iona,"42.674317,-81.36059067",42.674317,-81.36059067,Rare and well-preserved archaeological remains of an Attawandaron fortified village,NHistoric
131,St. Jude's Anglican Church ,1871 (completed),1993,Brantford,"43.1398722,-80.2534917",43.1398722,-80.2534917,"A small 1871 church in the High Victorian Gothic Revival style; known for its striking interior murals, painted in 1936, influenced by the Arts and Crafts Movement and the work of William Morris",NHistoric
132,St. Marys Junction Railway Station (Grand Trunk) ,1858 (completed),1973,St. Marys Junction,"43.2718222,-81.1312583",43.2718222,-81.1312583,"A one-storey limestone building in the Italianate style which served for a time as the western terminus of the Grand Trunk Railway; representative of the Grand Trunk's original Ontario stations, and a rare surviving stone example",NHistoric
133,St. Thomas City Hall ,1899 (completed),1984,St. Thomas,"42.7790972,-81.192722",42.7790972,-81.192722,"A well-designed late Victorian civic building with a commanding clock tower, reflective of the tremendous growth of the city at the end of the 19th century; one of the few surviving unaltered Richardsonian Romanesque town halls in Canada",NHistoric
134,Stephen Leacock Museum / Old Brewery Bay ,1928 (completed),1992,Orillia,"44.6082583,-79.3939778",44.6082583,-79.3939778,"A two-storey house on a four 4-hectare (9.9-acre) property on the shores of Lake Couchiching; home of and inspiration to Stephen Leacock, one of Canada's most celebrated authors and humorists",NHistoric
135,Stratford City Hall ,1899 (completed),1976,Stratford,"43.3699972,-80.9821889",43.3699972,-80.9821889,"A monumental red brick city hall with a prominent clock tower; a noted late 19th-century Picturesque municipal building, representative of an era when growing cities sought to express their civic pride and ambition in impressive civic buildings",NHistoric
136,Thistle Ha' Farm ,1852 (livestock operation began),1973,Claremont,"43.9397333,-79.109139",43.9397333,-79.109139,An 80-hectare (200-acre) working farm where groundbreaking breeding of pedigree livestock in Canada occurred in the 19th century; the work undertaken here played an important role in improving stock breeding throughout the Americas,NHistoric
137,Thunder Bay Tourist Pagoda ,1909 (completed),1986,Thunder Bay,"48.4345722,-89.2180500",48.4345722,-89.21805,"An octagonal brick tourism bureau featuring a pagoda-shaped roof with cupola, surrounded by a verandah and with an entrance surmounted by a carved beaver; symbolic of civic boosterism and novelty architecture",NHistoric
138,Trent to Severn Waterway ,1830 (commenced) - 1920 (completed),1929,Trenton,"44.1208250,-77.5914194 ",44.120825,-77.5914194,A 386-kilometre (240 mi) natural and man-made waterway that links Georgian Bay to the Bay of Quinte; an important transportation route noted for the high number of surviving unmodified structures in some sections dating from the waterway's construction,NHistoric
139,Severn Waterway,1830 (commenced) - 1920 (completed),1929,Cobourg,"44.8037000,-79.7207028",44.8037,-79.7207028,A 386-kilometre (240 mi) natural and man-made waterway that links Georgian Bay to the Bay of Quinte; an important transportation route noted for the high number of surviving unmodified structures in some sections dating from the waterway's construction,NHistoric
140,Victoria Hall / Cobourg Town Hall ,1860 (completed),1959,Petrolia,"43.9594111,-78.1678083",43.9594111,-78.1678083,"A neoclassical three-storey civic building; one of the more extravagant examples of town halls constructed in Canada West after landmark municipal legislation in 1848, symbolic of the prosperity and optimism of Cobourg during the 1850s",NHistoric
141,Victoria Hall / Petrolia Town Hall ,1889 (completed),1975,Onondaga,"42.8811972,-82.1468250",42.8811972,-82.146825,"A buff brick town hall with prominent clock tower, reflective of the time in the 1880s when Petrolia was among the wealthiest towns in Canada due to the local oil boom",NHistoric
142,Walker Site ,,1982,Fergus,"43.11667,-80.11667",43.11667,-80.11667,Large Iroquoian archaeological site pertaining to the historic Attiwandaronk tribe,NHistoric
143,Wellington County House of Industry and Refuge ,1877 (completed),1995,Sault Ste. Marie,"43.6930722,-80.3997722",43.6930722,-80.3997722,"A former farm dominated by a two-storey Italianate-style stone building; oldest known state-supported poorhouse or almshouse in Canada, now serving as the county museum and archives",NHistoric
144,Whitefish Island ,300 BCE (ca.) (first Aboriginal encampments),1981,Wilberforce,"46.511000,-84.354000",46.511,-84.354,"A small, naturalized island that was occupied by eight successive cultures, culminating in the development of the Ojibwa nation; its location made it a focal point of pre-contact trade and settlement",NHistoric
145,Wilberforce Red Cross Outpost ,1916 (completed); 1922-57 (health centre operational),2003,Port Dover,"45.0389056,-78.2235889",45.0389056,-78.2235889,"A simple frame house that served as the first outpost of the Ontario Division of the Canadian Red Cross; dedicated women provided nurse care with minimal medical backup, facilities and equipment, and the site is representative of the key role of nurses in providing health care and education in isolated areas",NHistoric
146,Wintering Site ,1669–70 (event),1919,Wolfe Island,"42.7946250,-80.189333",42.794625,-80.189333,Explorers François Dollier de Casson and René de Bréhant de Galinée and seven other Frenchmen wintered at this site - the first Europeans known to have ascended the Great Lakes to Sault Ste. Marie,NHistoric
147,Wolfe Island Township Hall ,1859 (completed),1984,London,"44.1931222,-76.4408000",44.1931222,-76.4408,A small Italianate rural town hall; an unusually sophisticated example of its type,NHistoric
148,Wolseley Barracks ,1888 (completed),1963,Kitchener,"43.000139,-81.2338972",43.000139,-81.2338972,"The first purpose-built infantry training school erected by the federal government, originally used to house Company ""D"" of the Infantry School Corps of The Royal Canadian Regiment; an important early step in the development of a permanent military force in Canada following the withdrawal of regular British troops from Canada in 1871",NHistoric
149,Woodside ,1853 (completed),1952,,"43.4635778,-80.480722",43.4635778,-80.480722,"A one-and-a-half-storey house on a wooded estate which served as the childhood home of William Lyon Mackenzie King, the longest serving Prime Minister of Canada; the subject of many of King's writings in adult life",NHistoric
